4.2607 -4.6279 3.2173 5.1299 6.3685 -6.4871 1.6924 -5.9209
8.6630 -9.3238 6.4230 14.7110 13.4978 -18.2688 -0.5813 -16.8927
5.6306 -6.0932 4.0800 3.9402 8.2498 -5.5426 4.9667 -4.8057
11.5529 -11.8446 7.7498 8.2645 16.7668 -11.6149 9.5057 -10.0903
1.4214 -1.7585 1.3637 2.9853 2.2084 -3.4633 -0.5327 -3.2982
-2.9330 2.8308 -1.5200 2.2553 -4.0888 -1.5605 -6.5775 -2.0036
-0.4733 0.2555 -0.0134 0.1746 -0.7430 0.0932 -0.8101 -0.0542
11.8062 -11.8349 7.5305 8.3008 17.3711 -12.0571 9.8680 -10.3144
0.4976 -1.1038 -0.1131 -3.0744 1.9524 2.4199 2.7024 -0.9578
-2.8077 2.1944 -0.8459 1.6761 -4.1657 -0.5727 -5.6821 -1.2135
-2.6627 1.6264 -0.2187 1.1702 -4.2901 0.3826 -4.9368 -0.4836
1.2214 -1.9617 1.5041 -1.6799 1.4570 1.9166 3.7762 1.8506
6.7837 -7.1695 4.7163 3.0994 9.6674 -4.7938 7.3502 -3.9868
0.5799 -1.6524 1.1459 3.2180 1.3330 -3.3491 -1.4831 -3.3828
-2.8885 2.7879 -1.4970 2.2210 -4.0267 -1.5368 -6.4776 -1.9732
6.7269 -6.8871 4.5590 7.7925 10.1889 -10.2125 2.8272 -9.1631
5.1393 -5.0737 2.9897 0.3854 7.4690 -1.9196 7.4369 -1.1100
5.1877 -5.4266 3.5697 4.5050 7.7445 -6.2010 3.6850 -5.4333
-2.6335 2.5418 -1.3648 2.0250 -3.6713 -1.4011 -5.9058 -1.7990
-2.7045 1.2903 -0.0061 0.8202 -3.9984 0.5174 -4.1740 -0.2067
2.0355 -2.0525 1.1768 -1.6450 2.7490 1.2841 4.6346 1.5285
1.0461 -2.7294 2.3206 -2.4508 1.2618 3.0080 4.8869 2.8130
0.7232 -1.0775 1.0770 3.5406 1.0268 -3.6431 -2.2687 -3.7021
-0.7488 0.3475 0.2499 4.6681 -0.8731 -4.5788 -5.4601 -4.7722
-0.2332 -0.6959 0.9002 -0.6927 -0.6043 1.3568 0.7048 1.0326
2.9364 -2.8341 1.5218 -2.2579 4.0935 1.5622 6.5850 2.0059
0.6950 -0.6162 0.7841 -0.4145 -0.2426 1.4680 0.5471 0.8848
-3.1188 2.5692 -1.1542 1.9769 -4.4137 -1.0157 -6.3546 -1.5864
-2.3361 0.9844 0.1292 0.5839 -3.4683 0.6321 -3.4129 -0.0199
3.8124 -4.7912 3.3388 0.4508 5.4936 -1.1915 5.9272 -0.7940
2.1163 -2.0425 1.0968 -1.6273 2.9502 1.1259 4.7459 1.4457
-1.8677 1.5095 -0.5780 1.1677 -2.8572 -0.3634 -3.9235 -0.8321
-2.7841 2.5055 -1.2437 1.9686 -3.9309 -1.1944 -5.9974 -1.6690
0.7716 -0.8309 0.5105 -0.6728 1.0113 0.5859 1.8160 0.6535
1.9665 -3.2245 2.2407 -2.7189 2.6254 2.6634 6.2829 2.7247
0.3074 -0.2421 0.5832 -0.1165 -0.7829 1.2618 -0.3221 0.6200
-1.2770 0.2964 0.5323 4.5339 -1.6128 -4.1188 -5.7695 -4.4723
-2.1157 0.6036 0.3994 0.2509 -3.1349 0.9452 -2.6355 0.3181
2.4462 -2.5368 1.5115 -2.0405 3.2330 1.7037 5.6255 1.9470
1.7056 -1.8537 1.2032 -1.4954 2.0887 1.4594 3.9287 1.5221
0.2533 -0.3579 0.4575 4.1424 0.6577 -4.5191 -3.5202 -4.4477
-2.9695 2.1838 -0.7989 1.6350 -4.3049 -0.5230 -5.7180 -1.1619
1.1435 -1.1905 0.7234 -0.9566 1.4801 0.8326 2.6130 0.9278
4.6940 -5.1614 3.3578 0.2414 6.6275 -1.2628 7.0793 -0.7195
-0.7625 -0.0257 0.1851 -0.0456 -1.1421 0.3135 -0.7500 0.0705
-3.5928 2.4295 -0.8960 1.8703 -5.3324 -0.5647 -6.8383 -1.4164
1.0135 -1.8732 1.7249 2.8188 1.4631 -2.8411 -0.7868 -2.9101
2.3591 -2.7765 1.7829 -2.2861 3.1209 2.0742 5.9439 2.2645
7.9953 -8.3634 5.5230 6.5823 11.8117 -9.0656 5.9549 -7.9434
1.3689 -2.8077 2.4765 6.5159 2.3323 -7.1030 -3.4485 -7.0882
-2.9821 1.8841 -0.5042 1.3432 -4.3044 -0.1370 -5.2445 -0.8110
1.3526 -1.5748 1.0342 -1.2901 1.7160 1.2376 3.3250 1.3069
2.4469 -2.7421 1.7352 -2.2354 3.1811 2.0243 5.9069 2.2088
-1.5719 0.3228 0.4839 0.0742 -2.4886 1.0215 -1.8834 0.4464
-3.8237 2.4962 -0.6832 1.8057 -5.6277 -0.1766 -6.9333 -1.0919
-1.1450 -0.0555 0.6114 -0.2301 -1.7405 1.0565 -0.8618 0.6386
